"journal","n"
"Acta Chiropterologica",1
"Acta Theriologica",1
"American Journal Of Primatology",12
"American Midland Naturalist",2
"Animal Behavior And Cognition",1
"Animal Behaviour",8
"Animal Biology",1
"Animal Cognition",3
"Animals : An Open Access Journal From Mdpi",2
"Annales Zoologici Fennici",1
"Aquatic Mammals",1
"Australian Journal Of Zoology",1
"Australian Mammalogy",2
"Behavioral Ecology And Sociobiology",2
"Behaviour",10
"Behavioural Brain Research",1
"Behavioural Processes",2
"Bioacoustics",9
"Bmc Biology",1
"Canadian Journal Of Zoology",1
"Communications Biology",1
"Current Biology : Cb",1
"Current Zoology",1
"Developmental Psychobiology",2
"Die Naturwissenschaften",1
"Diversity",1
"Elife",2
"Ethology",8
"Ethology Ecology & Evolution",1
"Evolution Letters",1
"Experimental Brain Research",1
"Folia Primatologica",4
"Folia Primatologica; International Journal Of Primatology",9
"Frontiers In Behavioral Neuroscience",3
"Frontiers In Ecology And Evolution",1
"Frontiers In Physiology",1
"Frontiers In Zoology",2
"Genes, Brain, And Behavior",2
"Hystrix, The Italian Journal Of Mammalogy",1
"Integrative Zoology",1
"International Journal Of Primatology",9
"International Journal Of Zoology",1
"Iscience",2
"Journal Of Anthropological Sciences = Rivista Di Antropologia : Jass",1
"Journal Of Comparative Physiology. A, Neuroethology, Sensory, Neural, And Behavioral Physiology",1
"Journal Of Comparative Psychology (Washington, D.C. : 1983)",3
"Journal Of Ethology",3
"Journal Of Experimental Biology",1
"Journal Of Human Evolution",1
"Journal Of Mammalogy",17
"Journal Of The Mammalogical Society Of Japan",1
"Journal Of Zoology",3
"Lab Animal",1
"Molecular Autism",1
"Nature Neuroscience",1
"Naturwissenschaften",1
"Neuron",1
"Neuropsychopharmacology",1
"Peerj",1
"Physiology & Behavior",1
"Plos Biology",1
"Plos Computational Biology",1
"Plos One",18
"Primates",6
"Proceedings Of The Royal Society B",2
"Psychopharmacology",1
"Royal Society Open Science",2
"Russian Journal Of Theriology. Русский Териологический Журнал",1
"Scientific Reports",1
"The Journal Of The Acoustical Society Of America",16
"Zeitschrift Für Säugetierkunde",3
"Zeitschrift Für Tierpsychologie",6
"Zoological Research",2
"Zoological Science",1
"Zoological Studies-Taipei-",1
"Zoology (Jena, Germany)",1
