rec_id,features
0,5
1,19
2,16
3,8
4,33
5,13
6,30
7,9
8,10
9,7
11,12
13,10
14,20
15,9
16,18
17,24
19,10
20,15
21,15
22,10
23,3
25,22
26,16
28,21
29,16
33,28
34,151
36,2
37,12
38,14
39,9
40,4
43,10
44,9
51,9
51,38
51,118
52,8
53,7
55,20
56,11
57,28
58,9
61,15
74,10
77,10
83,8
88,19
92,22
93,7
96,8
97,12
98,11
99,59
100,6
102,13
104,5
105,28
106,9
107,17
109,46
112,9
114,3
116,3
118,9
123,4
127,14
129,13
130,22
138,4
141,25
142,8
148,6
149,19
150,30
151,6
153,8
162,5
169,7
176,6
177,3
185,6
187,9
189,12
190,10
191,22
192,10
195,217
196,7
198,35
200,5
201,10
203,3
204,8
205,10
207,16
208,10
214,6
219,4
